,text,Degree of Injury
3179,employe is crush and pin between object,Fatal
3180,employe strike a tree and is killed.,Fatal
3181,employe is asphyxi in hole,Fatal
3182,employe is kill in fall,Fatal
3183,employe is struck and kill by fall object,Fatal
3184,employe is crush and kill when gear box fall,Nonfatal
3185,employe is electrocut,Fatal
3186,one employe is kill and one injur in trench collaps,Fatal
3187,employe is kill when gantri crane cab separ and fall,Fatal
3188,employe is stab and kill at work,Fatal
3189,employe fall in an elev shaft and is kill,Fatal
3190,employe fall from basket and is kill,Fatal
3191,employe struck by fall object and is kill,Fatal
3192,employe make direct contact with energ part and is ki,Fatal
3193,employe fall from drill rig and is kill,Fatal
3194,employe is found dead after sustain heart attack,Fatal
3195,employe make direct contact with energ conductor and i,Fatal
3196,employe goe into cardiac arrest and die after be stung,Fatal
3197,painter die after fall from scaffold,Fatal
3198,worker is kill by be thrown into excav and struck ,Fatal
3199,employe work on an hvac system is electrocut,Fatal
3200,employe fall from a ladder and is killl,Fatal
3201,employe die from heart attack,Fatal
3202,employe is kill by lightn strike,Fatal
3203,employe is kill in fall from height,Fatal
3204,worker crush by dock level is kill,Fatal
3205,employe make direct contact with energ conductor and i,Fatal
3206,employe work on truck is kill when transmiss fall ,Fatal
3207,employe die after fall from tank dome,Fatal
3208,employe is asphyxi in sludg well greas and water sepa,Fatal
3209,employe die from a heart attack,Fatal
3210,employe is kill from direct contact with energ part,Fatal
3211,employe oper ride a lawn mower is drown when mower,Fatal
3212,employe in manhol is asphyxi by sewer gas,Fatal
3213,employe is kill when caught in machinery.,Fatal
3214,worker is kill in fall from load dock,Fatal
3215,two employe at a highway construct site are back over,Fatal
3216,employe is electrocut when ladder contact overhead power,Fatal
3217,worker cut cylind at scrap yard is kill by burn o,Fatal
3218,employe is run over by car and is kill,Nonfatal
3219,"employe is struck and kill by a 1,000 pound bale of cardb",Fatal
3220,"employe die after fall and strike his head, possibl ",Fatal
3221,farm labor die of cardiac arrest.,Fatal
3222,employe seek relief from weather die of possibl cardia,Fatal
3223,worker is kill in fall from ladder,Fatal
3224,worker is struck by vehicl and kill,Fatal
3225,worker is struck and kill by truck,Fatal
3226,truck driver for energi explor firm is kill when truc,Fatal
3227,worker drown in retent pond,Fatal
3228,worker is shot and kill at conveni store,Fatal
3229,worker is crush by trailer and kill,Fatal
3230,worker die of unknown caus,Fatal
3231,worker is kill in fall from scaffold,Fatal
3232,worker die from heart attack,Fatal
3233,worker is kill in fall from ladder,Fatal
3234,two worker suffer electr shock; onli one surviv,Fatal
3235,worker is kill when struck by vehicl,Fatal
3236,worker die from heart attack at packag facil,Fatal
3237,worker die dure polic academi train,Fatal
3238,worker is kill in fall from aerial lift,Fatal
3239,trailer collaps kill worker,Fatal
3240,worker kill in fall,Fatal
3241,worker is run over by back truck and die,Fatal
3242,worker is electrocut while strip a wire,Fatal
3243,worker is kill in fall,Fatal
3244,employe drown in lake,Fatal
3245,worker is crush and kill by truck,Fatal
3246,worker die as result of fall,Fatal
3247,truck driver die in fall from semi-truck trailer,Fatal
3248,two worker are kill when thrown from aerial lift basket,Fatal
3249,worker die from heart attack,Fatal
3250,employe is pin underwat by a roll over ride mower ,Fatal
3251,employe fall from elev and is killed.,Fatal
3252,employe fall from elev and is killed.,Fatal
3253,employe expos to high heat while work on roof later di,Fatal
3254,employe electrocut while servic taxiway edg light and,Fatal
3255,two employe fall when an articul boom fail and are ,Fatal
3256,employe fell while climb stair and was killed.,Fatal
3257,employe fall thru floor open and is kill,Fatal
3258,employe fall from scaffold and is kill,Fatal
3259,employe crush by die cut machin and is killed.,Fatal
3260,employe crush by die cut machin and is kill,Fatal
3261,"employe fall from ladder, strike head against equipment, ",Fatal
3262,employe is asphyxi by nitrogen gas and is kill,Fatal
3263,"employe fall from ladder, strike head on concret walkway",Fatal
3264,employe die from cardiovascular failur,Fatal
3265,employe struck by track hoe is kill,Fatal
3266,"employe contact high voltag power line, is electrocuted, ",Fatal
3267,employe fall from height and is killed.,Fatal
3268,two employe inhal fume in confin space and were kill,Fatal
3269,employe is pin underwat by roll over ride mower an,Fatal
3270,employe is kill by heart attack under heat stress condit,Fatal
3271,employe fall into manur pit while oper skid steer an,Fatal
3272,employe fall when a hydraul lift fail and is killed.,Fatal
3273,roadway employe is struck and kill by a car,Fatal
3274,employe is struck by log and is killed.,Fatal
3275,employe is kill from heat stress,Fatal
3276,construct worker ladder contact overhead power line and ,Fatal
3277,employe clean car is crush between two vehicl and i,Fatal
3278,employe is crush and asphyxi by machineri and is kill,Fatal
3279,employe is struck by track hoe bucket and is killed.,Fatal
3280,employe fall from ladder and is killed.,Fatal
3281,employe collaps and is kill when clear debri from r,Fatal
3282,employe fall off roof and is kill,Fatal
3283,employe is crush in a mold machin and is killed.,Fatal
3284,employe is kill from a cardiac arrest.,Fatal
3285,"employe is electrocuted, fall from a ladder, and is kill",Fatal
3286,an employe is struck by a one ton sack of calcin petroleu,Fatal
3287,employe make contact with a live wire and is kill,Fatal
3288,employe struck-bi column is kill,Fatal
3289,worker found deceas in a compani vehicl,Fatal
3290,employe is struck and kill by passeng vehicl while sur,Fatal
3291,"employe is pinned, crush and kill in cnc lath machin",Fatal
3292,employe is kill when caught between scissor lift and mezz,Fatal
3293,employe is caught in a baler machin and is kill,Fatal
3294,employe suffer heart attack and die while drive utv,Fatal
3295,employe collaps and die from unknown causes.,Fatal
3296,employe fall from ladder and is killed.,Fatal
3297,employe struck by excav and is kill,Fatal
3298,firefight hike with full ppe and tool suffer heat exha,Nonfatal
3299,employe fall from ladder after electr shock and die of ,Fatal
3300,employe fall into hatch and fractur vertebra and die f,Fatal
3301,employe is pin and kill beneath mobil home that shift,Fatal
3302,employe strike foot pad on the pipe handl cantilev bo,Fatal
3303,employe die from failur of the circulatori system.,Fatal
3304,employe fall from scaffold and is killed.,Fatal
3305,employe is kill when struck by an excavator.,Fatal
3306,mechan is crush by trailer and is kill,Fatal
3307,crush from press,Fatal
3308,employe trip and fall at work and is kill,Fatal
3309,employe fall off forklift and is kill,Fatal
3310,employe die from heartattack,Fatal
3311,employe is electrocut by high voltag power line,Fatal
3312,employe is kill by robot while repair,Fatal
3313,employe is kill when pull into finish press roller.,Fatal
3314,employe is shot and kill by arm intruders.,Fatal
3315,employe is burn and kill in explos while on a geni ,Fatal
3316,"employe fall off truck, strike head on asphalt, and is ki",Fatal
3317,employe is kill in fall while work on cargo ship hold,Fatal
3318,employe fall from scaffold and is kill,Fatal
3319,"one employe is killed, anoth injur when atv lose contr",Fatal
3320,employe is kill when larg cool fan fall on him while,Fatal
3321,employe is kill when struck by fall concret block.,Fatal
3322,employe sustain punctur wound to abdomen and is kill wh,Fatal
3323,employe is kill when pin between rig and side wall.,Fatal
3324,employe is electrocut on contact with energ conductor,Fatal
3325,employe die of heart attack at work.,Fatal
3326,employe is kill when impal by metal gate.,Fatal
3327,employe is kill when pin between lift arm and frame o,Fatal
3328,employe is crush by load dock plate while repair wa,Fatal
3329,employe fall from elev work surfac and is kill,Fatal
3330,employe is kill when struck and run over by loader.,Fatal
3331,employe die from heart attack.,Fatal
3332,"employe is crush as the steel coil around the recoiler,",Fatal
3333,employe caught in trench collaps and is killed.,Fatal
3334,employe is electrocut while work in motor control cabi,Fatal
3335,employe is kill when pin beneath the trailer tires.,Fatal
3336,employe electrocut while instal hvac equip,Fatal
3337,employe is crush and kill by autom crane,Fatal
3338,disgruntl employe hold fellow worker hostag is shot b,Fatal
3339,employe is kill when pin against concret wall and cru,Fatal
3340,employe die after accident drink flurosilic acid ,Fatal
3341,employe suffer heat stroke and die while work in field,Fatal
3342,employe is kill in watercraft train accident.,Fatal
3343,employe crush by uncoupl milk trailer that tip over ,Fatal
3344,employe die from cardiovascular problem,Fatal
3345,employe is kill when struck by fall branch of tree,Fatal
3346,employe is kill in excav collaps,Fatal
3347,employe is electrocut by contact with an expos power li,Fatal
3348,employe is injur when struck by motor vehicl and die la,Fatal
3349,employe is kill when pin beneath crane,Fatal
3350,employe is kill in fall from skylight,Fatal
3351,employe is struck and kill by lightn,Fatal
3352,employe fall from roof and is kill,Nonfatal
3353,employe is crush and kill by util truck,Fatal
3354,employe drown while tri to retriev paddleboat,Fatal
3355,employe contact third electr rail and is electrocut,Fatal
3356,employe is electrocut while work in crawl space undern,Fatal
3357,employe is kill in fall from hot air balloon.,Fatal
3358,employe fall over the edg of a pallet and is kill by tr,Fatal
3359,employe is found dead of unknown caus at home.,Fatal
3360,employe is electrocut dure instal of util pole,Fatal
3361,employe found unrespons while cut grass along inter,Fatal
3362,employe is kill in fall from communic tower,Fatal
3363,employe is kill when fork lift overturn,Fatal
3364,employe is electrocut while replac air condit un,Fatal
3365,employe struck and kill by truck,Fatal
3366,employe found unconsci dure break from pick berri,Fatal
3367,employe fall from height and is kill,Nonfatal
3368,employe hand crush by fall vehicl,Nonfatal
3369,employe is kill while construct a pier,Fatal
3370,employe is kill when struck by pass motor vehicl,Fatal
3371,employe is kill in fall from tractor,Fatal
3372,employe is found unconsci and die from heart attack,Fatal
3373,employe is crush by tipper arm of hay bale compress sy,Fatal
3374,employe is kill after jump from roof,Fatal
3375,employe is crush by log dure tree fell oper,Nonfatal
3376,employe is kill in fall to conveyor system alongsid raft,Fatal
3377,employe is asphyxi from trench collaps,Fatal
3378,employe fall from roof and is kill,Fatal
3379,one employe drown and two other treat at hospit,Fatal
